Which version of the robot were you interviewed by?,Before/After,What is your gender?,I feel: Inspired count,I feel: Inspired mean,I feel: Inspired std,I feel: Inspired min,I feel: Inspired 25%,I feel: Inspired 50%,I feel: Inspired 75%,I feel: Inspired max,I feel: Scared count,I feel: Scared mean,I feel: Scared std,I feel: Scared min,I feel: Scared 25%,I feel: Scared 50%,I feel: Scared 75%,I feel: Scared max,I feel: Excited count,I feel: Excited mean,I feel: Excited std,I feel: Excited min,I feel: Excited 25%,I feel: Excited 50%,I feel: Excited 75%,I feel: Excited max,I feel: Nervous count,I feel: Nervous mean,I feel: Nervous std,I feel: Nervous min,I feel: Nervous 25%,I feel: Nervous 50%,I feel: Nervous 75%,I feel: Nervous max,I feel: Enthusiastic count,I feel: Enthusiastic mean,I feel: Enthusiastic std,I feel: Enthusiastic min,I feel: Enthusiastic 25%,I feel: Enthusiastic 50%,I feel: Enthusiastic 75%,I feel: Enthusiastic max,I feel: Distressed count,I feel: Distressed mean,I feel: Distressed std,I feel: Distressed min,I feel: Distressed 25%,I feel: Distressed 50%,I feel: Distressed 75%,I feel: Distressed max,I feel: Alert count,I feel: Alert mean,I feel: Alert std,I feel: Alert min,I feel: Alert 25%,I feel: Alert 50%,I feel: Alert 75%,I feel: Alert max,I feel: Upset count,I feel: Upset mean,I feel: Upset std,I feel: Upset min,I feel: Upset 25%,I feel: Upset 50%,I feel: Upset 75%,I feel: Upset max,I feel: Determined count,I feel: Determined mean,I feel: Determined std,I feel: Determined min,I feel: Determined 25%,I feel: Determined 50%,I feel: Determined 75%,I feel: Determined max,I feel: Ashamed count,I feel: Ashamed mean,I feel: Ashamed std,I feel: Ashamed min,I feel: Ashamed 25%,I feel: Ashamed 50%,I feel: Ashamed 75%,I feel: Ashamed max,I feel: Proud count,I feel: Proud mean,I feel: Proud std,I feel: Proud min,I feel: Proud 25%,I feel: Proud 50%,I feel: Proud 75%,I feel: Proud max,I feel: Guilty count,I feel: Guilty mean,I feel: Guilty std,I feel: Guilty min,I feel: Guilty 25%,I feel: Guilty 50%,I feel: Guilty 75%,I feel: Guilty max
Version 1,After,Female,2.0,2.0,1.4142135623730951,1.0,1.5,2.0,2.5,3.0,2.0,2.0,1.4142135623730951,1.0,1.5,2.0,2.5,3.0,2.0,1.5,0.7071067811865476,1.0,1.25,1.5,1.75,2.0,2.0,2.0,1.4142135623730951,1.0,1.5,2.0,2.5,3.0,2.0,1.5,0.7071067811865476,1.0,1.25,1.5,1.75,2.0,2.0,4.0,1.4142135623730951,3.0,3.5,4.0,4.5,5.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,0.7071067811865476,2.0,2.25,2.5,2.75,3.0,2.0,2.0,1.4142135623730951,1.0,1.5,2.0,2.5,3.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.4142135623730951,1.0,1.5,2.0,2.5,3.0,2.0,1.5,0.7071067811865476,1.0,1.25,1.5,1.75,2.0
Version 1,After,Male,3.0,2.3333333333333335,0.5773502691896258,2.0,2.0,2.0,2.5,3.0,3.0,3.3333333333333335,1.5275252316519468,2.0,2.5,3.0,4.0,5.0,3.0,2.3333333333333335,1.5275252316519468,1.0,1.5,2.0,3.0,4.0,3.0,3.0,1.0,2.0,2.5,3.0,3.5,4.0,3.0,2.3333333333333335,0.5773502691896258,2.0,2.0,2.0,2.5,3.0,3.0,2.6666666666666665,0.5773502691896258,2.0,2.5,3.0,3.0,3.0,3.0,2.3333333333333335,0.5773502691896258,2.0,2.0,2.0,2.5,3.0,3.0,3.3333333333333335,0.5773502691896258,3.0,3.0,3.0,3.5,4.0,3.0,2.3333333333333335,1.5275252316519468,1.0,1.5,2.0,3.0,4.0,3.0,2.0,1.0,1.0,1.5,2.0,2.5,3.0,3.0,3.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,2.0,1.0,1.0,1.5,2.0,2.5,3.0
Version 1,Before,Female,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.1213203435596424,1.0,1.75,2.5,3.25,4.0,2.0,2.0,1.4142135623730951,1.0,1.5,2.0,2.5,3.0,2.0,2.5,2.1213203435596424,1.0,1.75,2.5,3.25,4.0,2.0,2.5,0.7071067811865476,2.0,2.25,2.5,2.75,3.0,2.0,4.0,1.4142135623730951,3.0,3.5,4.0,4.5,5.0,2.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,3.5,0.7071067811865476,3.0,3.25,3.5,3.75,4.0,2.0,3.5,0.7071067811865476,3.0,3.25,3.5,3.75,4.0,2.0,2.5,0.7071067811865476,2.0,2.25,2.5,2.75,3.0,2.0,2.5,0.7071067811865476,2.0,2.25,2.5,2.75,3.0,2.0,2.5,0.7071067811865476,2.0,2.25,2.5,2.75,3.0
Version 1,Before,Male,3.0,3.0,1.7320508075688772,1.0,2.5,4.0,4.0,4.0,3.0,2.3333333333333335,1.1547005383792515,1.0,2.0,3.0,3.0,3.0,3.0,2.3333333333333335,0.5773502691896258,2.0,2.0,2.0,2.5,3.0,3.0,3.0,1.7320508075688772,1.0,2.5,4.0,4.0,4.0,3.0,2.6666666666666665,0.5773502691896258,2.0,2.5,3.0,3.0,3.0,3.0,2.6666666666666665,1.5275252316519468,1.0,2.0,3.0,3.5,4.0,3.0,2.3333333333333335,1.1547005383792515,1.0,2.0,3.0,3.0,3.0,3.0,2.6666666666666665,1.1547005383792515,2.0,2.0,2.0,3.0,4.0,3.0,1.6666666666666667,1.1547005383792517,1.0,1.0,1.0,2.0,3.0,3.0,2.6666666666666665,1.5275252316519468,1.0,2.0,3.0,3.5,4.0,3.0,3.3333333333333335,1.5275252316519465,2.0,2.5,3.0,4.0,5.0,3.0,2.6666666666666665,1.5275252316519468,1.0,2.0,3.0,3.5,4.0
Version 2,After,Female,2.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,2.0,1.5,0.7071067811865476,1.0,1.25,1.5,1.75,2.0,2.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,2.0,1.5,0.7071067811865476,1.0,1.25,1.5,1.75,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.5,0.7071067811865476,3.0,3.25,3.5,3.75,4.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Version 2,After,Male,3.0,2.3333333333333335,1.5275252316519465,1.0,1.5,2.0,3.0,4.0,3.0,1.3333333333333333,0.5773502691896257,1.0,1.0,1.0,1.5,2.0,3.0,2.3333333333333335,2.3094010767585034,1.0,1.0,1.0,3.0,5.0,3.0,1.6666666666666667,0.5773502691896257,1.0,1.5,2.0,2.0,2.0,3.0,2.6666666666666665,2.081665999466133,1.0,1.5,2.0,3.5,5.0,3.0,1.3333333333333333,0.5773502691896257,1.0,1.0,1.0,1.5,2.0,3.0,2.3333333333333335,1.1547005383792515,1.0,2.0,3.0,3.0,3.0,3.0,2.3333333333333335,1.5275252316519465,1.0,1.5,2.0,3.0,4.0,3.0,1.6666666666666667,0.5773502691896257,1.0,1.5,2.0,2.0,2.0,3.0,1.3333333333333333,0.5773502691896257,1.0,1.0,1.0,1.5,2.0,3.0,2.6666666666666665,1.5275252316519465,1.0,2.0,3.0,3.5,4.0,3.0,1.6666666666666667,0.5773502691896257,1.0,1.5,2.0,2.0,2.0
Version 2,Before,Female,2.0,3.0,1.4142135623730951,2.0,2.5,3.0,3.5,4.0,2.0,2.0,1.4142135623730951,1.0,1.5,2.0,2.5,3.0,2.0,3.5,2.1213203435596424,2.0,2.75,3.5,4.25,5.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,0.7071067811865476,2.0,2.25,2.5,2.75,3.0,2.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,2.0,2.5,0.7071067811865476,2.0,2.25,2.5,2.75,3.0,2.0,2.0,1.4142135623730951,1.0,1.5,2.0,2.5,3.0,2.0,3.5,0.7071067811865476,3.0,3.25,3.5,3.75,4.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Version 2,Before,Male,3.0,2.3333333333333335,1.5275252316519468,1.0,1.5,2.0,3.0,4.0,3.0,1.3333333333333333,0.5773502691896257,1.0,1.0,1.0,1.5,2.0,3.0,2.6666666666666665,2.081665999466133,1.0,1.5,2.0,3.5,5.0,3.0,1.6666666666666667,1.1547005383792517,1.0,1.0,1.0,2.0,3.0,3.0,3.0,1.7320508075688772,2.0,2.0,2.0,3.5,5.0,3.0,1.3333333333333333,0.5773502691896257,1.0,1.0,1.0,1.5,2.0,3.0,1.6666666666666667,1.1547005383792517,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.7320508075688772,1.0,1.0,1.0,2.5,4.0,3.0,1.6666666666666667,0.5773502691896257,1.0,1.5,2.0,2.0,2.0,3.0,1.3333333333333333,0.5773502691896257,1.0,1.0,1.0,1.5,2.0,3.0,2.3333333333333335,1.1547005383792515,1.0,2.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Version 1,After,All,5.0,2.2,0.8366600265340756,1.0,2.0,2.0,3.0,3.0,5.0,2.8,1.4832396974191326,1.0,2.0,3.0,3.0,5.0,5.0,2.0,1.224744871391589,1.0,1.0,2.0,2.0,4.0,5.0,2.6,1.140175425099138,1.0,2.0,3.0,3.0,4.0,5.0,2.0,0.7071067811865476,1.0,2.0,2.0,2.0,3.0,5.0,3.2,1.0954451150103321,2.0,3.0,3.0,3.0,5.0,5.0,2.2,0.44721359549995787,2.0,2.0,2.0,2.0,3.0,5.0,3.0,0.7071067811865476,2.0,3.0,3.0,3.0,4.0,5.0,2.2,1.3038404810405297,1.0,1.0,2.0,3.0,4.0,5.0,2.0,0.7071067811865476,1.0,2.0,2.0,2.0,3.0,5.0,2.6,1.6733200530681511,1.0,1.0,3.0,3.0,5.0,5.0,1.8,0.8366600265340756,1.0,1.0,2.0,2.0,3.0
Version 1,Before,All,5.0,2.6,1.3416407864998738,1.0,2.0,2.0,4.0,4.0,5.0,2.4,1.3416407864998738,1.0,1.0,3.0,3.0,4.0,5.0,2.2,0.8366600265340756,1.0,2.0,2.0,3.0,3.0,5.0,2.8,1.6431676725154984,1.0,1.0,4.0,4.0,4.0,5.0,2.6,0.5477225575051661,2.0,2.0,3.0,3.0,3.0,5.0,3.2,1.4832396974191326,1.0,3.0,3.0,4.0,5.0,5.0,3.0,1.224744871391589,1.0,3.0,3.0,4.0,4.0,5.0,3.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,2.4,1.3416407864998738,1.0,1.0,3.0,3.0,4.0,5.0,2.6,1.140175425099138,1.0,2.0,3.0,3.0,4.0,5.0,3.0,1.224744871391589,2.0,2.0,3.0,3.0,5.0,5.0,2.6,1.140175425099138,1.0,2.0,3.0,3.0,4.0
